training_loss,validation_loss
0.40191478,0.40807927
0.3966856,0.39710015
0.3917329,0.39539686
0.38620803,0.3874905
0.3801401,0.38844383
0.37429944,0.37461835
0.36808556,0.36964524
0.36117682,0.3651915
0.35508657,0.35167122
0.34685284,0.3475473
0.338975,0.34164196
0.3317203,0.32847825
0.32152617,0.31607372
0.31219637,0.30995348
0.30244732,0.30229452
0.29145202,0.287737
0.2805478,0.27185565
0.26869324,0.26537514
0.2559279,0.24905601
0.24252434,0.23876952
0.22925498,0.22425094
0.21512327,0.21213734
0.20116553,0.1989916
0.18734714,0.18494013
0.17423971,0.17177698
0.16143098,0.1601494
0.14981465,0.14671475
0.13922256,0.13356869
0.1303732,0.12719586
0.12287842,0.121968605
0.11745785,0.115414195
0.112803325,0.11285195
0.109763205,0.110120855
0.10767971,0.10815623
0.10625661,0.1073675
0.10535194,0.1080845
0.10479881,0.10670437
0.10421674,0.10617012
0.10399576,0.10712555
0.10369537,0.10437919
0.103527695,0.1059406
0.10316163,0.104442425
0.10290656,0.10606458
0.10267466,0.104825035
0.10228582,0.104600035
0.10206412,0.10410581
0.10160651,0.10334268
0.10130328,0.10454753
0.10092542,0.1021583
0.10040167,0.10302083
0.09992065,0.10133382
0.09959612,0.10213374
0.09893809,0.100292034
0.09838249,0.100098565
0.09767161,0.09929001
0.09686046,0.098694
0.09583914,0.09748455
0.0948096,0.09595101
0.09376288,0.0951197
0.09249104,0.09388189
0.09111724,0.09188698
0.08931911,0.09016616
0.087492436,0.08820997
0.08503613,0.0866514
0.08221464,0.08120048
0.07902392,0.07838169
0.07541001,0.07529302
0.07158912,0.07182268
0.06793871,0.0679432
0.065208934,0.063898176
0.06274437,0.063755736
0.060688492,0.061086476
0.05899665,0.058854125
0.05734015,0.057578593
0.055818338,0.056199264
0.054556172,0.053633273
0.053378314,0.053840093
0.0521777,0.05247153
0.051063202,0.050771646
0.050056428,0.04965894
0.04905157,0.04835087
0.048123535,0.04738492
0.047344748,0.047251344
0.046356753,0.0458154
0.04561881,0.043688126
0.044782598,0.044471666
0.044164136,0.04364602
0.043434538,0.041616015
0.04288671,0.041423317
0.042373694,0.04209995
0.04184305,0.042213313
0.04129651,0.039987434
0.04072023,0.039426982
0.040338695,0.039753087
0.039967276,0.038732313
0.039579183,0.039324176
0.03914429,0.03787439
0.0387507,0.038110238
0.038382616,0.03784684
0.038036842,0.03793167
0.037739497,0.03729981
0.037407387,0.036601122
0.037074264,0.03680931
0.03681222,0.035718784
0.03659031,0.036796585
0.036229838,0.035957053
0.035953388,0.034830153
0.035766456,0.035052754
0.035554774,0.034917973
0.0351691,0.033419967
0.03503513,0.03459384
0.03475922,0.03364621
0.034595426,0.033712354
0.034391675,0.033257265
0.03419732,0.03272201
0.033962633,0.03375817
0.03384754,0.033216573
0.03356575,0.032188993
0.033401188,0.031655423
0.033234503,0.03266661
0.033011112,0.03242507
0.03286754,0.03132468
0.032715067,0.03198944
0.03243776,0.031536154
0.03230116,0.031376407
0.032105457,0.031433042
0.031890295,0.031013047
0.031762883,0.031652555
0.03150859,0.02991462
0.031324107,0.030374754
0.031180998,0.03069004
0.031013658,0.029870475
0.030910376,0.030074382
0.030647611,0.029991865
0.030494986,0.02974255
0.03033634,0.029953493
0.030213667,0.029439492
0.030039456,0.029361969
0.02983164,0.028696816
0.029687824,0.02823269
0.029556677,0.028430063
0.029344529,0.028399229
0.029238308,0.028554639
0.029054163,0.027549647
0.028883347,0.028278448
0.028726827,0.026762944
0.0286569,0.027071323
0.028497947,0.027106082
0.028246773,0.027950842
0.028113294,0.027523
0.028027149,0.02665732
0.027894197,0.026959918
0.027686834,0.026714377
0.027592354,0.026706655
0.027447725,0.027007762
0.027357379,0.026519641
0.027167415,0.026085407
0.027079657,0.025858883
0.026971744,0.025143426
0.02677488,0.025619516
0.026687786,0.025385967
0.026511492,0.024896506
0.02643055,0.024875138
0.026371747,0.024625871
0.026146663,0.024747882
0.026131932,0.02454285
0.025973033,0.024761654
0.025870359,0.024235193
0.025771389,0.024359886
0.025650103,0.02445458
0.025557162,0.024091356
0.025459332,0.024337351
0.025338663,0.024384238
0.025246829,0.024376245
0.025198668,0.023268986
0.025031803,0.024494257
0.025010347,0.02383755
0.02486653,0.023436775
0.024812933,0.02408791
0.024758294,0.023401503
0.024646455,0.022733517
0.024587668,0.023138644
0.02450145,0.02307494
0.024411509,0.022632828
0.024386993,0.023363532
0.024352746,0.02330586
0.024230642,0.023119235
0.024127696,0.02289932
0.024064703,0.022647174
0.024053795,0.022223268
0.023920914,0.022746034
0.02392238,0.022113943
0.023822827,0.022405231
0.023796303,0.022446588
0.023741415,0.02281309
0.023704449,0.022137228
0.023660315,0.022601198
0.023592409,0.022411644
0.023504809,0.022153644
0.023512302,0.022416329
0.023437884,0.022367358
0.023368545,0.02181966
0.023286236,0.022677641
0.023219785,0.021613155
0.023216061,0.021866726
0.023205765,0.021868497
0.023089362,0.021845799
0.023082372,0.022004649
0.023036113,0.02082888
0.022953518,0.021738563
0.022935867,0.022273943
0.022873655,0.021080764
0.022817452,0.022115901
0.022718892,0.021057898
0.022679403,0.021082424
0.022708498,0.020832272
0.022657463,0.021811169
0.022648806,0.02123624
0.02251266,0.021464888
0.02255944,0.021183018
0.022449158,0.021637496
0.022345155,0.020151373
0.022361381,0.021503814
0.022277761,0.020870846
0.022202427,0.020764377
0.02223098,0.021297688
0.022216877,0.020579807
0.02206138,0.020711537
0.02207905,0.021190252
0.022026813,0.020824492
0.021942226,0.020626146
0.021861209,0.020757154
0.02186485,0.020668786
0.021732816,0.02114953
0.021763785,0.020463288
0.02175066,0.020549856
0.021679457,0.020421203
0.021566968,0.020826135
0.021550395,0.020440802
0.02153931,0.02040955
0.021364372,0.020419642
0.021334263,0.020503098
0.021321898,0.020102412
0.021269634,0.02020463
0.021138096,0.020324405
0.021116463,0.020304365
0.021027766,0.019881342
0.02100909,0.02032594
0.02086787,0.020092292
0.020813247,0.019537771
0.020715887,0.019779049
0.020618044,0.01929646
0.020553986,0.019922646
0.020548621,0.01947137
0.020459104,0.01910466
0.020330708,0.01917682
0.02023783,0.018942961
0.020148236,0.019107142
0.02011538,0.018496431
0.020012109,0.019388871
0.019907702,0.019166533
0.019768106,0.01902067
0.019624295,0.018760545
0.019509448,0.018810308
0.019439854,0.018314004
0.0193558,0.018240158
0.019212287,0.018348157
0.0190612,0.01809417
0.018957568,0.01834625
0.018794177,0.01792238
0.018686632,0.017786793
0.01855946,0.017606705
0.018403083,0.017870978
0.018174132,0.017487993
0.018084586,0.017149355
0.017906694,0.01686048
0.017745035,0.017046912
0.017574709,0.017108887
0.01739014,0.01700845
0.017256146,0.01654433
0.017041156,0.016052276
0.01686592,0.015788458
0.016717128,0.01608923
0.016491413,0.01600764
0.016334206,0.015657673
0.016117834,0.01529921
0.015915185,0.015239531
0.015733857,0.014987193
0.0155569315,0.014630002
0.015322791,0.014224085
0.015119014,0.014450894
0.01492629,0.014456
0.014721685,0.014440253
0.01446648,0.014284764
0.01428502,0.013866459
0.014093262,0.01409829
0.013866725,0.013378728
0.013713165,0.013307959
0.013484629,0.012864548
0.013311523,0.012399856
0.013102182,0.01301094
0.012853177,0.01243398
0.012705218,0.0124222245
0.012531963,0.012119383
0.012372794,0.0116633605
0.012144344,0.011772787
0.011968973,0.011684448
0.011844732,0.011467883
0.011607077,0.011239834
0.011462006,0.011500781
0.011348295,0.010751106
0.011189766,0.011021743
0.0109987855,0.010320773
0.010899644,0.010319929
0.010729087,0.010568524
0.010573381,0.010469636
0.010449006,0.010142034
0.010326805,0.010369804
0.010174982,0.009706102
0.010049921,0.010212883
0.009921858,0.009551579
0.00980155,0.009403565
0.009693092,0.009590076
0.00958159,0.009317383
0.00946912,0.009356251
0.00937895,0.008942667
0.0092133265,0.0092995
0.009085885,0.008935243
0.009010236,0.008922464
0.008921142,0.008467252
0.0088283885,0.008526066
0.008684967,0.008299297
0.008609436,0.008370321
0.008531898,0.008383767
0.008425092,0.008518189
0.0083418805,0.007832024
0.008235931,0.0081107225
0.008165041,0.008013721
0.008060091,0.0078051034
0.007980946,0.00788532
0.00790682,0.007831079
0.0077995537,0.008096384
0.0077374387,0.007816101
0.00763001,0.0074911183
0.007577943,0.007041143
0.0074991123,0.0074368417
0.007431331,0.007037116
0.007370901,0.007007054
0.0072660777,0.0069780047
0.007194099,0.0068058157
0.007135544,0.0069535566
0.007068737,0.0068879807
0.0069927685,0.00676712
0.006915329,0.006741046
0.006828534,0.006867597
0.0067972266,0.0067645833
0.0066951355,0.0068191593
0.0066451626,0.006548533
0.0065378672,0.0063463678
0.0064958474,0.006216621
0.006473521,0.006128869
0.006390616,0.0063662594
0.0063219946,0.006382641
0.0062875515,0.0061899377
0.006201585,0.006200039
0.0061545353,0.0062122378
0.0060821935,0.006044493
0.0060326746,0.0058829105
0.0059879795,0.0060269525
0.0059241974,0.005854761
0.005850107,0.0057319775
0.005833457,0.00585897
0.005769846,0.005866246
0.0057250075,0.0058442783
0.0056213676,0.005554728
0.005607978,0.00568258
0.005565283,0.0056138784
0.0055221957,0.0055790013
0.005448645,0.0053029526
0.0054041385,0.0055244304
0.005360557,0.0050795753
0.005306033,0.0052560624
0.0052841837,0.005219929
0.005234694,0.005229745
0.005178849,0.00523758
0.005151272,0.005168883
0.0050845877,0.005116841
0.005013217,0.005026485
0.005025796,0.0048164073
0.0049634664,0.0048268638
0.0049099643,0.00492472
0.004879261,0.00494654
0.0048286486,0.0044593895
0.0048045455,0.0045678494
0.004749607,0.004777371
0.0046985834,0.004785181
0.004679291,0.004536044
0.0046368926,0.004750102
0.0045841914,0.0047568865
0.0045441543,0.0045736013
0.004541682,0.0045380937
0.004510299,0.004355572
0.0044820798,0.0044625835
0.0044269636,0.0043043345
0.004379313,0.0043732524
0.0043641455,0.0043420075
0.004304289,0.004360957
0.004281872,0.004451837
0.004212538,0.004152379
0.004224072,0.004078865
0.0041983267,0.0041262563
0.0041744504,0.0042490065
0.00413015,0.0042350553
0.0041200435,0.0041224984
0.0040631616,0.0040768003
0.004059756,0.004153719
0.003998293,0.004026478
0.0039746216,0.0038730917
0.0039492515,0.003965008
0.003931559,0.0038157846
0.0039021093,0.0037402292
0.003864701,0.0037120748
0.0038541001,0.0036662961
0.003809685,0.0037347819
0.0038065396,0.0038099852
0.0037936922,0.0038851504
0.0037347926,0.0037507792
0.0037154339,0.0036499386
0.0037092331,0.0037765233
0.003678618,0.003617268
0.0036459311,0.003647921
0.0036291499,0.0036566504
0.0036041567,0.0034110197
0.003580961,0.0033443402
0.0035547172,0.0034562796
0.0035385801,0.00357632
0.0035059112,0.003330147
0.0034895688,0.0032152876
0.0034959235,0.0034167818
0.0034585593,0.0034492814
0.0034178745,0.0032829037
0.0034205455,0.0032679718
0.003399207,0.003292538
0.0033643518,0.0033814583
0.0033485207,0.003247635
0.003322279,0.0033292351
0.0033067318,0.003316742
0.0033010233,0.003311465
0.0032595855,0.0031867372
0.003266413,0.00313518
0.0032262818,0.0031682819
0.0032155835,0.0029631606
0.0031819616,0.0030401247
0.0031834282,0.0030718865
0.0031523195,0.0030386539
0.0031545486,0.002954821
0.0031250915,0.0030885842
0.0031029428,0.0030159035
0.0030955935,0.0030549958
0.0030747636,0.0030802977
0.0030608613,0.0030627488
0.0030381295,0.003030322
0.003027506,0.0029944107
0.003011618,0.0028929727
0.0029981788,0.0028974037
0.002990666,0.0028799993
0.0029704182,0.0027757287
0.0029693355,0.002883365
0.002932484,0.0027087717
0.002916638,0.0027504968
0.0028847666,0.002919078
0.0028859389,0.0027850575
0.002850804,0.0028694312
0.002849218,0.0027853288
0.0028405644,0.002791266
0.0028272956,0.002770605
0.0028108542,0.0027986835
0.0028025426,0.0027386514
0.0027918404,0.0026104958
0.0027710616,0.0026199229
0.0027490966,0.0026787021
0.0027589875,0.00271331
0.0027455331,0.0026013362
0.0027256417,0.002671572
0.002732194,0.0025939024
0.002690475,0.0027467392
0.0026832544,0.0026278729
0.0026570645,0.0026803575
0.002650341,0.002574205
0.0026427773,0.0026115999
0.0026326184,0.002542758
0.0026165158,0.002494058
0.002605791,0.0024572948
0.0025888598,0.002420972
0.0025887212,0.0024966346
0.0025699188,0.002470567
0.0025613194,0.0025172061
0.002538677,0.0026055295
0.0025386005,0.0025358186
0.0025249228,0.0023177736
0.0025036267,0.002508264
0.0025028244,0.0025026686
0.0024931724,0.0024420829
0.002477592,0.0024495048
0.0024739853,0.0023782852
0.0024658097,0.0023356387
0.0024480643,0.0023417627
0.0024476752,0.0023673207
0.0024335207,0.0023551644
0.002421076,0.0023304042
0.0023985596,0.0024687878
0.002391769,0.0023975293
0.0023750958,0.0023242058
0.0023881441,0.0022903627
0.0023745396,0.002294084
0.0023580946,0.0023481697
0.0023438763,0.002308067
0.0023324955,0.0022194416
0.0023270082,0.0022348883
0.0023663745,0.0024464997
0.0023694506,0.0022366485
0.0022998794,0.0022172476
0.0022859895,0.0022301956
0.002288057,0.0022655544
0.002262882,0.0021820772
0.0022690755,0.0022289194
0.0022561145,0.0022100545
0.0022525056,0.0023046338
0.0022310014,0.0022320026
0.0022253785,0.00213828
0.0022220493,0.0020984043
0.0022117633,0.0021321105
0.0022139116,0.0020801444
0.0021971066,0.0021345168
0.0021825877,0.0020994295
0.0021796674,0.0021494497
0.00217433,0.0021852325
0.0021618432,0.0021432682
0.0021634349,0.0021645476
0.0021631813,0.0021128224
0.0021375671,0.0021873647
0.0021328016,0.0020425238
0.002125781,0.0020723548
0.002115513,0.0021006134
0.0021100075,0.0020527772
0.0021074794,0.00207531
0.0020898252,0.00199823
0.0020935652,0.0020548063
0.0020736405,0.0020099727
0.0020807765,0.002101718
0.0020724896,0.0020455467
0.0020563416,0.00192421
0.0020644905,0.0019958639
0.0020484126,0.0019649817
0.0020378116,0.0019839103
0.0020189066,0.001922777
0.0020176417,0.001991616
0.0020175667,0.0020217947
0.0020086742,0.0019628184
0.0020162952,0.0019635926
0.0019997836,0.0019049819
0.001986442,0.0019975952
0.001983656,0.0019173417
0.0019694548,0.0019354989
0.0019758784,0.0018001089
0.0019653183,0.0019863963
0.0019513444,0.0019343644
0.0019490801,0.001979574
0.0019422064,0.0019493692
0.001926139,0.0018774917
0.0019410185,0.001895898
0.0019216421,0.0019128864
0.0019106263,0.0019051404
0.0019074732,0.0018666028
0.001893441,0.001828836
0.0018888896,0.001904272
0.0018916015,0.001804091
0.001883881,0.0017087881
0.0018771923,0.0017994023
0.001874344,0.001816338
0.0018664617,0.0018059374
0.0018782595,0.0018075772
0.001858104,0.0017445718
0.001837508,0.0018475761
0.0018383205,0.0017277396
0.0018284213,0.0018022244
0.0018228731,0.0017454262
0.0018149343,0.0018291547
0.0018040093,0.0016973377
0.0017964122,0.0017868053
0.0017979938,0.0017139979
0.0017896811,0.0017801301
0.0017811224,0.0017262872
0.0017702004,0.001767489
0.0017742624,0.001653821
0.001767866,0.0017060916
0.0017514263,0.001706174
0.0017451822,0.0017262856
0.0017334104,0.0017219102
0.0017402065,0.0018191494
0.0017497418,0.0017156899
0.0017357814,0.001706289
0.0017187368,0.0016953431
0.0017142419,0.0016961745
0.0017108256,0.0016513495
0.0017080121,0.0016071518
0.0016976184,0.001692817
0.001695711,0.0016727182
0.0016808639,0.001623896
0.0016793984,0.0016507782
0.0016707749,0.0016160398
0.0016647389,0.0016340693
0.0016540252,0.0016251501
0.0016608333,0.0015141725
0.0016453094,0.001610735
0.0016323207,0.0016523257
0.0016352007,0.0016117294
0.0016403152,0.0015818761
0.0016258659,0.001652181
0.0016039987,0.0015307354
0.0016242453,0.0015537095
0.0016070623,0.0015983006
0.001617851,0.0015556712
0.0016202321,0.0015183125
0.0016140803,0.0015630149
0.0015888092,0.0015314748
0.0015779769,0.0014976303
0.0015633102,0.0015413575
0.001563553,0.0015233111
0.0015538528,0.0015483457
0.0015518671,0.0015490532
0.0015592313,0.0014767498
0.0015396773,0.0014231987
0.0015317085,0.0014817894
0.001525499,0.0014975752
0.0015198168,0.0015001794
0.0015163148,0.0014416401
0.0015015283,0.001478743
0.0014984034,0.0014898818
0.0015047649,0.0014108132
0.0014937487,0.0013919299
0.0014864976,0.0014585864
0.0014838921,0.0014168697
0.0014692766,0.0013864159
0.001474929,0.0014384312
0.0014560405,0.0013575446
0.0014544141,0.0014284819
0.0014499886,0.0014214226
0.0014343723,0.0014149027
0.0014392517,0.0014056294
0.0014346536,0.0013680687
0.0014229891,0.00140604
0.0014231049,0.0013890506
0.0014137195,0.0014341648
0.0014215619,0.0014102936
0.0014075268,0.0013911217
0.0013994618,0.0014022747
0.0013922642,0.0013076925
0.0013834822,0.0013350216
0.0013796985,0.0013238739
0.0013786828,0.0012482142
0.001366737,0.0013442716
0.0013700337,0.0013161177
0.0013669574,0.0013310649
0.0013530933,0.0012970889
0.0013519622,0.0013298837
0.0013452116,0.001358896
0.0013397106,0.0012820618
0.0013378995,0.0012850466
0.0013342228,0.0012470246
0.0013246721,0.0012295461
0.0013196331,0.0012708628
0.0013240259,0.0012839483
0.0013099932,0.0012149701
0.0013109578,0.0012818333
0.0012983142,0.0011884575
0.0012950097,0.0012120919
0.0012861153,0.0012724085
0.0012861879,0.0011441566
0.0012804442,0.0012952611
0.0012816295,0.0012867803
0.0012656215,0.0011255245
0.0012614849,0.0012354888
0.0012502059,0.0012005668
0.0012584543,0.0011690739
0.0012437104,0.0012211752
0.0012514675,0.00122549
0.0012416822,0.0011599523
0.001235612,0.0011804323
0.001225778,0.0012190151
0.0012203231,0.0012192469
0.0012160742,0.0011443895
0.0012032569,0.0011634124
0.0012086999,0.0011489408
0.0012044525,0.0011621794
0.0011947755,0.0011748222
0.0011962537,0.0011459959
0.0011892461,0.0011196274
0.0011829875,0.0011569206
0.0011780345,0.0011199543
0.0011823868,0.001118318
0.0011650645,0.0010753741
0.0011570675,0.0011669501
0.0011542534,0.0011182653
0.0011608003,0.0011036608
0.0011547767,0.0010981665
0.0011465009,0.0011099388
0.0011361275,0.0010641911
0.0011395339,0.0011323583
0.0011408832,0.0010775758
0.0011262144,0.0010467784
0.0011224969,0.0010800905
0.001111647,0.0010191058
0.0011129456,0.0010649399
0.0011091726,0.0010187102
0.0011049602,0.001051055
0.0011004532,0.0010181244
0.0010913555,0.0010337555
0.001087626,0.001034362
0.0010884517,0.0011046856
0.0010898936,0.0009834458
0.0010813813,0.0009830697
0.0010768819,0.0009875279
0.0010650714,0.00094111415
0.0010668769,0.0009952362
0.0010627568,0.0010041662
0.0010551352,0.0010002002
0.001051688,0.0010405516
0.0010496,0.0009820361
0.001046057,0.0009859692
0.0010374071,0.00096899626
