training_loss,validation_loss
0.1293569,0.03398108
0.027462266,0.020993354
0.011036042,0.0050869673
0.0035303184,0.0024902488
0.0019938857,0.0015601884
0.0012395065,0.0009502119
0.0007525034,0.00060948
0.00051060336,0.00043397938
0.00038979622,0.0003406122
0.00031539807,0.00027543632
0.000256026,0.0002245371
0.00021637262,0.00018876111
0.00018508357,0.00017268783
0.0001599563,0.00014268646
0.00014160194,0.00012676351
0.00012935445,0.00011706888
0.00011740441,0.00010578474
0.000108231645,9.436659e-05
9.9777724e-05,0.0001592438
9.330507e-05,8.18889e-05
8.847474e-05,7.712769e-05
8.37742e-05,9.548638e-05
7.832631e-05,6.79718e-05
7.6824734e-05,6.8018e-05
7.190284e-05,6.263953e-05
7.0639704e-05,8.009267e-05
6.589105e-05,5.6565135e-05
6.49289e-05,5.7642665e-05
6.400712e-05,5.372343e-05
5.8436224e-05,5.5919518e-05
5.758713e-05,5.1010007e-05
5.653142e-05,5.8028683e-05
5.538818e-05,4.6336023e-05
5.7502628e-05,8.437326e-05
4.926486e-05,5.5348068e-05
5.1520554e-05,4.4056393e-05
4.8282727e-05,4.613355e-05
4.7545913e-05,4.458089e-05
4.7249327e-05,4.6892026e-05
4.6105106e-05,4.2874744e-05
4.422901e-05,4.202254e-05
4.4527515e-05,3.808131e-05
4.2621352e-05,3.7793776e-05
4.3048683e-05,4.3577427e-05
4.1225823e-05,3.7804602e-05
4.0933348e-05,3.5529873e-05
4.0025763e-05,3.502159e-05
3.9722123e-05,3.6243182e-05
3.912049e-05,3.5881745e-05
3.858169e-05,6.464646e-05
3.7440594e-05,4.3347078e-05
3.7077054e-05,3.4338056e-05
3.6832796e-05,3.4404224e-05
3.637932e-05,3.187902e-05
3.575241e-05,3.3280136e-05
3.4965142e-05,3.5453173e-05
3.5831083e-05,9.710288e-05
3.4484074e-05,3.0808173e-05
3.3967874e-05,4.653311e-05
3.4116274e-05,4.389692e-05
3.3361568e-05,3.013924e-05
3.3681474e-05,3.0308685e-05
3.383184e-05,3.2657976e-05
3.263782e-05,3.345518e-05
3.215643e-05,2.933169e-05
3.2255204e-05,3.1223793e-05
3.158508e-05,2.8435023e-05
3.1754807e-05,4.069225e-05
3.1508225e-05,3.5377645e-05
3.1654647e-05,2.785562e-05
3.083893e-05,2.8472947e-05
3.0559928e-05,2.9933688e-05
3.047596e-05,2.6902757e-05
3.0096655e-05,2.6876873e-05
3.0061887e-05,2.6455806e-05
2.9986213e-05,2.7880502e-05
2.9625631e-05,2.649153e-05
2.9170013e-05,2.9345598e-05
2.9271365e-05,3.0357493e-05
2.8928172e-05,4.3458695e-05
2.877361e-05,2.5941708e-05
2.8746832e-05,2.6649821e-05
2.8246735e-05,2.5446925e-05
2.8211336e-05,2.9586943e-05
2.9219782e-05,2.6119065e-05
2.7971606e-05,2.7634924e-05
2.8079861e-05,2.5437661e-05
2.7540456e-05,2.6408463e-05
2.737515e-05,2.812443e-05
2.7427068e-05,2.6627693e-05
2.7391265e-05,2.973986e-05
2.7372611e-05,2.5296498e-05
2.6693762e-05,2.471993e-05
2.713787e-05,2.645972e-05
2.6807444e-05,2.611422e-05
2.670993e-05,2.4440547e-05
2.6194632e-05,2.7150978e-05
2.64187e-05,2.5176474e-05
2.6215015e-05,2.9362809e-05
2.6223595e-05,2.5354939e-05
2.5805257e-05,2.5330359e-05
2.5952251e-05,2.4698864e-05
2.567297e-05,2.5210373e-05
2.5888927e-05,2.9133276e-05
2.5488e-05,2.3569151e-05
2.5473171e-05,2.5085423e-05
2.5405185e-05,2.3809058e-05
2.5138837e-05,2.4441273e-05
2.5287745e-05,2.3399309e-05
2.5290146e-05,2.3323737e-05
2.5219799e-05,3.0313475e-05
2.5053603e-05,2.3109591e-05
