training_loss,validation_loss
0.13473961,0.039402813
0.0323015,0.026906673
0.023485444,0.020184895
0.012956662,0.007169663
0.004853882,0.003346423
0.0026330613,0.002137281
0.0018322909,0.0016089544
0.001300454,0.0010712424
0.00089790043,0.00073969865
0.0006191583,0.0005092708
0.00044588203,0.0003734257
0.00033414012,0.00044803854
0.00026764887,0.00024148994
0.00022488345,0.00020083801
0.00019621833,0.00017396802
0.00017720305,0.00015801126
0.00015808297,0.00014617159
0.00014606756,0.0001279175
0.00013197548,0.00016014477
0.00012445712,0.0001373664
0.000116265226,0.000103771046
0.00011169279,0.00019078578
0.00010572302,9.3885516e-05
0.0001003113,8.841263e-05
9.5653915e-05,8.371991e-05
9.312622e-05,8.279694e-05
8.9250316e-05,8.092299e-05
8.626049e-05,0.0002041508
8.226958e-05,7.32607e-05
8.121741e-05,7.328118e-05
8.043647e-05,9.595877e-05
7.5831435e-05,0.0005267282
7.444811e-05,7.0924885e-05
7.446735e-05,6.372726e-05
7.102894e-05,6.3636646e-05
7.044042e-05,6.20678e-05
6.7064815e-05,6.039279e-05
6.7037065e-05,5.9353297e-05
6.583947e-05,6.3837826e-05
6.46455e-05,5.6598656e-05
6.312447e-05,5.6062672e-05
6.255504e-05,5.7767487e-05
6.1549006e-05,5.3331216e-05
6.110861e-05,5.2688134e-05
6.0310518e-05,7.075856e-05
5.8705427e-05,5.131372e-05
5.967693e-05,5.0588562e-05
5.5455548e-05,4.9794355e-05
5.6050714e-05,6.132324e-05
5.4780077e-05,4.8357477e-05
5.6619952e-05,6.645088e-05
5.5110148e-05,4.716265e-05
5.2211984e-05,5.7843543e-05
5.2567906e-05,5.6228517e-05
5.1770352e-05,5.27226e-05
5.1027822e-05,6.478531e-05
5.0594197e-05,4.4451226e-05
5.0484607e-05,4.3886623e-05
4.967009e-05,4.6933525e-05
4.9268874e-05,4.4279837e-05
4.7888825e-05,4.3156822e-05
4.807743e-05,4.2493913e-05
4.7302306e-05,4.1970743e-05
4.670624e-05,4.382825e-05
4.686895e-05,4.048488e-05
4.492243e-05,4.3692013e-05
4.5369477e-05,4.300356e-05
4.469525e-05,4.355104e-05
4.444025e-05,4.7027457e-05
4.5474975e-05,4.2936877e-05
4.3939785e-05,4.6381065e-05
4.2878182e-05,3.9052673e-05
4.3044773e-05,3.8423896e-05
4.2372805e-05,3.8506427e-05
4.2051564e-05,4.830627e-05
4.2122203e-05,3.8630205e-05
4.1131236e-05,4.0147534e-05
4.1666084e-05,3.9429655e-05
4.0403254e-05,4.2135718e-05
4.101718e-05,9.249452e-05
3.9769762e-05,3.5337e-05
4.028859e-05,3.5336114e-05
3.9511462e-05,3.490942e-05
3.9016497e-05,3.7219277e-05
4.0333493e-05,3.7062513e-05
3.8008537e-05,3.5525623e-05
3.9135404e-05,3.5392477e-05
3.7951777e-05,4.225188e-05
3.7971287e-05,3.497935e-05
3.7486945e-05,4.5005872e-05
3.7452348e-05,3.321435e-05
3.7510876e-05,3.6195102e-05
3.6571582e-05,3.2988122e-05
3.668719e-05,3.275356e-05
3.6589066e-05,3.2409047e-05
3.5736226e-05,3.3169366e-05
3.5762834e-05,5.0034425e-05
3.5492438e-05,3.296116e-05
3.58091e-05,3.192118e-05
3.5207286e-05,3.1576736e-05
3.5185898e-05,3.2594533e-05
3.498375e-05,4.04491e-05
3.4107303e-05,3.2537842e-05
3.4767072e-05,3.2584405e-05
3.4236993e-05,3.390039e-05
3.364303e-05,3.0961866e-05
3.4153207e-05,3.0674513e-05
3.3355594e-05,3.0221005e-05
3.4630157e-05,3.1271993e-05
3.2614036e-05,3.0160827e-05
3.288476e-05,7.5659875e-05
3.302026e-05,3.0011277e-05
3.272941e-05,2.9084244e-05
3.4046272e-05,2.9677905e-05
3.18997e-05,2.9736582e-05
3.1790216e-05,2.9434785e-05
3.2055163e-05,2.878357e-05
3.197219e-05,3.0818643e-05
3.1525444e-05,2.805033e-05
3.117964e-05,3.607363e-05
3.1583062e-05,2.8225526e-05
3.1189626e-05,3.088758e-05
3.1084266e-05,3.123499e-05
3.0726085e-05,2.8685137e-05
3.0832794e-05,6.965526e-05
3.0471578e-05,2.7246639e-05
3.0285932e-05,2.8891984e-05
2.9880794e-05,3.167477e-05
3.0198453e-05,3.6581423e-05
2.9907851e-05,2.931687e-05
2.987737e-05,2.8178341e-05
2.961942e-05,2.904031e-05
2.9647432e-05,2.7567432e-05
3.0125546e-05,2.6306412e-05
2.8903973e-05,2.6589747e-05
2.8861043e-05,3.0021922e-05
2.9565666e-05,2.801729e-05
2.8693796e-05,2.627544e-05
2.9309746e-05,2.638903e-05
2.886372e-05,2.589751e-05
2.854864e-05,2.6139684e-05
2.8478358e-05,2.8955292e-05
2.9411192e-05,2.6789026e-05
2.7933265e-05,2.6771568e-05
2.8599232e-05,2.681326e-05
2.794128e-05,3.1192565e-05
2.7569442e-05,2.543733e-05
2.7984297e-05,7.791729e-05
2.7455511e-05,2.7489907e-05
2.7433598e-05,2.639196e-05
2.7325093e-05,2.5517518e-05
2.7809625e-05,2.571754e-05
2.6733085e-05,2.654244e-05
2.8416174e-05,2.4835967e-05
2.6607055e-05,2.493789e-05
2.6989768e-05,2.5294172e-05
2.6648755e-05,2.5361125e-05
2.7018456e-05,2.48074e-05
2.6255608e-05,2.462928e-05
2.6592836e-05,2.4415916e-05
2.754705e-05,2.3875144e-05
2.5628637e-05,2.841552e-05
2.65523e-05,3.6555113e-05
2.6216716e-05,2.6469725e-05
2.6651942e-05,2.357864e-05
2.6105921e-05,2.3614484e-05
2.619033e-05,2.8132625e-05
2.6116797e-05,2.8940714e-05
2.5970101e-05,2.4047496e-05
2.603566e-05,2.6144533e-05
2.5626388e-05,2.3003198e-05
2.5217561e-05,2.375158e-05
2.551287e-05,2.3438355e-05
2.4961617e-05,2.427927e-05
2.5592564e-05,2.3185572e-05
2.5476078e-05,2.2840666e-05
2.4782383e-05,2.363235e-05
2.5402373e-05,4.7961046e-05
2.491904e-05,2.5633288e-05
2.4781393e-05,2.3040913e-05
2.5061738e-05,2.2315344e-05
2.4789651e-05,2.3261078e-05
2.4577863e-05,3.9449435e-05
